| end of split   1 / 20 | epoch   1 | time:  3.20s | valid loss  4.23 | valid ppl    68.74 | learning rate 20.0000
| end of split   2 / 20 | epoch   1 | time:  3.06s | valid loss  4.71 | valid ppl   111.53 | learning rate 20.0000
| end of split   3 / 20 | epoch   1 | time:  3.04s | valid loss  4.55 | valid ppl    94.21 | learning rate 20.0000
| end of split   4 / 20 | epoch   1 | time:  3.07s | valid loss  3.80 | valid ppl    44.91 | learning rate 20.0000
| end of split   5 / 20 | epoch   1 | time:  3.08s | valid loss  3.57 | valid ppl    35.61 | learning rate 20.0000
| end of split   6 / 20 | epoch   1 | time:  3.11s | valid loss  3.89 | valid ppl    48.89 | learning rate 20.0000
| end of split   7 / 20 | epoch   1 | time:  3.10s | valid loss  3.20 | valid ppl    24.41 | learning rate 20.0000
| end of split   8 / 20 | epoch   1 | time:  3.07s | valid loss  3.33 | valid ppl    27.98 | learning rate 20.0000
| end of split   9 / 20 | epoch   1 | time:  3.11s | valid loss  3.02 | valid ppl    20.57 | learning rate 20.0000
| end of split  10 / 20 | epoch   1 | time:  3.12s | valid loss  3.02 | valid ppl    20.51 | learning rate 20.0000
| end of split  11 / 20 | epoch   1 | time:  3.14s | valid loss  2.94 | valid ppl    18.85 | learning rate 20.0000
| end of split  12 / 20 | epoch   1 | time:  3.11s | valid loss  2.80 | valid ppl    16.50 | learning rate 20.0000
| end of split  13 / 20 | epoch   1 | time:  3.10s | valid loss  2.73 | valid ppl    15.36 | learning rate 20.0000
| end of split  14 / 20 | epoch   1 | time:  3.10s | valid loss  2.63 | valid ppl    13.86 | learning rate 20.0000
| end of split  15 / 20 | epoch   1 | time:  3.14s | valid loss  2.73 | valid ppl    15.27 | learning rate 20.0000
| end of split  16 / 20 | epoch   1 | time:  3.10s | valid loss  2.61 | valid ppl    13.59 | learning rate 20.0000
| end of split  17 / 20 | epoch   1 | time:  3.04s | valid loss  2.48 | valid ppl    11.96 | learning rate 20.0000
| end of split  18 / 20 | epoch   1 | time:  3.04s | valid loss  2.48 | valid ppl    11.92 | learning rate 20.0000
| end of split  19 / 20 | epoch   1 | time:  3.02s | valid loss  2.25 | valid ppl     9.47 | learning rate 20.0000
| end of split  20 / 20 | epoch   1 | time:  3.06s | valid loss  2.28 | valid ppl     9.82 | learning rate 20.0000
| end of split   1 / 20 | epoch   2 | time:  3.28s | valid loss  2.35 | valid ppl    10.44 | learning rate 20.0000
| end of split   2 / 20 | epoch   2 | time:  3.11s | valid loss  2.33 | valid ppl    10.24 | learning rate 20.0000
| end of split   3 / 20 | epoch   2 | time:  3.15s | valid loss  2.30 | valid ppl     9.97 | learning rate 20.0000
| end of split   4 / 20 | epoch   2 | time:  3.13s | valid loss  2.37 | valid ppl    10.66 | learning rate 20.0000
| end of split   5 / 20 | epoch   2 | time:  3.05s | valid loss  2.38 | valid ppl    10.77 | learning rate 20.0000
| end of split   6 / 20 | epoch   2 | time:  3.08s | valid loss  2.35 | valid ppl    10.44 | learning rate 20.0000
| end of split   7 / 20 | epoch   2 | time:  3.05s | valid loss  2.14 | valid ppl     8.51 | learning rate 20.0000
| end of split   8 / 20 | epoch   2 | time:  3.08s | valid loss  2.06 | valid ppl     7.87 | learning rate 20.0000
| end of split   9 / 20 | epoch   2 | time:  3.05s | valid loss  2.10 | valid ppl     8.20 | learning rate 20.0000
| end of split  10 / 20 | epoch   2 | time:  3.10s | valid loss  2.22 | valid ppl     9.17 | learning rate 20.0000
| end of split  11 / 20 | epoch   2 | time:  3.16s | valid loss  2.18 | valid ppl     8.82 | learning rate 20.0000
| end of split  12 / 20 | epoch   2 | time:  3.11s | valid loss  2.24 | valid ppl     9.37 | learning rate 20.0000
| end of split  13 / 20 | epoch   2 | time:  3.06s | valid loss  2.16 | valid ppl     8.64 | learning rate 20.0000
| end of split  14 / 20 | epoch   2 | time:  3.08s | valid loss  2.08 | valid ppl     8.00 | learning rate 20.0000
| end of split  15 / 20 | epoch   2 | time:  3.12s | valid loss  2.19 | valid ppl     8.95 | learning rate 20.0000
| end of split  16 / 20 | epoch   2 | time:  3.02s | valid loss  2.08 | valid ppl     7.97 | learning rate 20.0000
| end of split  17 / 20 | epoch   2 | time:  3.03s | valid loss  2.11 | valid ppl     8.24 | learning rate 20.0000
| end of split  18 / 20 | epoch   2 | time:  3.08s | valid loss  2.20 | valid ppl     9.05 | learning rate 20.0000
| end of split  19 / 20 | epoch   2 | time:  3.00s | valid loss  2.08 | valid ppl     8.04 | learning rate 20.0000
| end of split  20 / 20 | epoch   2 | time:  3.06s | valid loss  1.98 | valid ppl     7.22 | learning rate 5.0000
| end of split   1 / 20 | epoch   3 | time:  3.27s | valid loss  1.97 | valid ppl     7.17 | learning rate 5.0000
| end of split   2 / 20 | epoch   3 | time:  3.12s | valid loss  1.99 | valid ppl     7.34 | learning rate 5.0000
| end of split   3 / 20 | epoch   3 | time:  3.10s | valid loss  2.01 | valid ppl     7.46 | learning rate 5.0000
| end of split   4 / 20 | epoch   3 | time:  3.11s | valid loss  1.98 | valid ppl     7.24 | learning rate 5.0000
| end of split   5 / 20 | epoch   3 | time:  3.12s | valid loss  1.98 | valid ppl     7.24 | learning rate 5.0000
| end of split   6 / 20 | epoch   3 | time:  3.09s | valid loss  1.96 | valid ppl     7.11 | learning rate 5.0000
| end of split   7 / 20 | epoch   3 | time:  3.14s | valid loss  2.00 | valid ppl     7.40 | learning rate 5.0000
| end of split   8 / 20 | epoch   3 | time:  3.10s | valid loss  1.99 | valid ppl     7.32 | learning rate 5.0000
| end of split   9 / 20 | epoch   3 | time:  3.16s | valid loss  2.01 | valid ppl     7.49 | learning rate 5.0000
| end of split  10 / 20 | epoch   3 | time:  3.18s | valid loss  1.98 | valid ppl     7.22 | learning rate 5.0000
| end of split  11 / 20 | epoch   3 | time:  3.17s | valid loss  2.00 | valid ppl     7.42 | learning rate 5.0000
| end of split  12 / 20 | epoch   3 | time:  3.12s | valid loss  2.00 | valid ppl     7.41 | learning rate 5.0000
| end of split  13 / 20 | epoch   3 | time:  3.10s | valid loss  1.96 | valid ppl     7.08 | learning rate 5.0000
| end of split  14 / 20 | epoch   3 | time:  3.18s | valid loss  1.96 | valid ppl     7.13 | learning rate 5.0000
| end of split  15 / 20 | epoch   3 | time:  3.13s | valid loss  1.99 | valid ppl     7.35 | learning rate 5.0000
