| end of split   1 / 20 | epoch   1 | time:  3.21s | valid loss  4.16 | valid ppl    63.83 | learning rate 20.0000
| end of split   2 / 20 | epoch   1 | time:  3.07s | valid loss  3.98 | valid ppl    53.78 | learning rate 20.0000
| end of split   3 / 20 | epoch   1 | time:  3.07s | valid loss  3.96 | valid ppl    52.21 | learning rate 20.0000
| end of split   4 / 20 | epoch   1 | time:  3.04s | valid loss  4.14 | valid ppl    62.72 | learning rate 20.0000
| end of split   5 / 20 | epoch   1 | time:  3.14s | valid loss  4.21 | valid ppl    67.64 | learning rate 20.0000
| end of split   6 / 20 | epoch   1 | time:  3.15s | valid loss  3.45 | valid ppl    31.36 | learning rate 20.0000
| end of split   7 / 20 | epoch   1 | time:  3.08s | valid loss  3.43 | valid ppl    30.74 | learning rate 20.0000
| end of split   8 / 20 | epoch   1 | time:  3.13s | valid loss  3.65 | valid ppl    38.54 | learning rate 20.0000
| end of split   9 / 20 | epoch   1 | time:  3.11s | valid loss  3.25 | valid ppl    25.88 | learning rate 20.0000
| end of split  10 / 20 | epoch   1 | time:  3.14s | valid loss  3.57 | valid ppl    35.54 | learning rate 20.0000
| end of split  11 / 20 | epoch   1 | time:  3.08s | valid loss  3.26 | valid ppl    25.96 | learning rate 20.0000
| end of split  12 / 20 | epoch   1 | time:  3.16s | valid loss  2.99 | valid ppl    19.81 | learning rate 20.0000
| end of split  13 / 20 | epoch   1 | time:  3.15s | valid loss  2.84 | valid ppl    17.16 | learning rate 20.0000
| end of split  14 / 20 | epoch   1 | time:  3.16s | valid loss  2.79 | valid ppl    16.22 | learning rate 20.0000
| end of split  15 / 20 | epoch   1 | time:  3.23s | valid loss  2.74 | valid ppl    15.45 | learning rate 20.0000
| end of split  16 / 20 | epoch   1 | time:  3.13s | valid loss  2.84 | valid ppl    17.04 | learning rate 20.0000
| end of split  17 / 20 | epoch   1 | time:  3.09s | valid loss  2.59 | valid ppl    13.37 | learning rate 20.0000
| end of split  18 / 20 | epoch   1 | time:  3.10s | valid loss  2.62 | valid ppl    13.74 | learning rate 20.0000
| end of split  19 / 20 | epoch   1 | time:  3.10s | valid loss  2.39 | valid ppl    10.87 | learning rate 20.0000
| end of split  20 / 20 | epoch   1 | time:  3.01s | valid loss  2.45 | valid ppl    11.62 | learning rate 20.0000
| end of split   1 / 20 | epoch   2 | time:  3.22s | valid loss  2.43 | valid ppl    11.33 | learning rate 20.0000
| end of split   2 / 20 | epoch   2 | time:  3.02s | valid loss  2.30 | valid ppl     9.97 | learning rate 20.0000
| end of split   3 / 20 | epoch   2 | time:  3.03s | valid loss  2.42 | valid ppl    11.28 | learning rate 20.0000
| end of split   4 / 20 | epoch   2 | time:  2.98s | valid loss  2.38 | valid ppl    10.85 | learning rate 20.0000
| end of split   5 / 20 | epoch   2 | time:  2.97s | valid loss  2.51 | valid ppl    12.27 | learning rate 20.0000
| end of split   6 / 20 | epoch   2 | time:  3.01s | valid loss  2.33 | valid ppl    10.30 | learning rate 20.0000
| end of split   7 / 20 | epoch   2 | time:  2.98s | valid loss  2.42 | valid ppl    11.27 | learning rate 20.0000
| end of split   8 / 20 | epoch   2 | time:  3.14s | valid loss  2.25 | valid ppl     9.53 | learning rate 20.0000
| end of split   9 / 20 | epoch   2 | time:  3.03s | valid loss  2.24 | valid ppl     9.42 | learning rate 20.0000
| end of split  10 / 20 | epoch   2 | time:  3.09s | valid loss  2.25 | valid ppl     9.44 | learning rate 20.0000
| end of split  11 / 20 | epoch   2 | time:  3.12s | valid loss  2.31 | valid ppl    10.05 | learning rate 20.0000
| end of split  12 / 20 | epoch   2 | time:  3.18s | valid loss  2.17 | valid ppl     8.79 | learning rate 20.0000
| end of split  13 / 20 | epoch   2 | time:  3.09s | valid loss  2.21 | valid ppl     9.08 | learning rate 20.0000
| end of split  14 / 20 | epoch   2 | time:  3.16s | valid loss  2.25 | valid ppl     9.51 | learning rate 20.0000
| end of split  15 / 20 | epoch   2 | time:  3.15s | valid loss  2.10 | valid ppl     8.17 | learning rate 20.0000
| end of split  16 / 20 | epoch   2 | time:  3.18s | valid loss  2.20 | valid ppl     9.04 | learning rate 20.0000
| end of split  17 / 20 | epoch   2 | time:  3.05s | valid loss  2.09 | valid ppl     8.07 | learning rate 20.0000
| end of split  18 / 20 | epoch   2 | time:  3.11s | valid loss  2.03 | valid ppl     7.60 | learning rate 20.0000
| end of split  19 / 20 | epoch   2 | time:  3.07s | valid loss  2.12 | valid ppl     8.35 | learning rate 20.0000
| end of split  20 / 20 | epoch   2 | time:  2.96s | valid loss  2.19 | valid ppl     8.93 | learning rate 20.0000
| end of split   1 / 20 | epoch   3 | time:  3.35s | valid loss  2.04 | valid ppl     7.66 | learning rate 20.0000
| end of split   2 / 20 | epoch   3 | time:  3.15s | valid loss  2.08 | valid ppl     7.99 | learning rate 20.0000
| end of split   3 / 20 | epoch   3 | time:  3.01s | valid loss  2.08 | valid ppl     8.02 | learning rate 20.0000
| end of split   4 / 20 | epoch   3 | time:  3.07s | valid loss  2.07 | valid ppl     7.96 | learning rate 20.0000
| end of split   5 / 20 | epoch   3 | time:  2.98s | valid loss  2.01 | valid ppl     7.45 | learning rate 20.0000
| end of split   6 / 20 | epoch   3 | time:  3.01s | valid loss  2.01 | valid ppl     7.46 | learning rate 20.0000
| end of split   7 / 20 | epoch   3 | time:  2.99s | valid loss  2.10 | valid ppl     8.15 | learning rate 20.0000
| end of split   8 / 20 | epoch   3 | time:  3.05s | valid loss  2.08 | valid ppl     7.97 | learning rate 20.0000
| end of split   9 / 20 | epoch   3 | time:  3.00s | valid loss  2.14 | valid ppl     8.48 | learning rate 20.0000
| end of split  10 / 20 | epoch   3 | time:  2.97s | valid loss  2.04 | valid ppl     7.70 | learning rate 20.0000
| end of split  11 / 20 | epoch   3 | time:  3.05s | valid loss  1.98 | valid ppl     7.25 | learning rate 20.0000
| end of split  12 / 20 | epoch   3 | time:  3.07s | valid loss  1.97 | valid ppl     7.18 | learning rate 20.0000
| end of split  13 / 20 | epoch   3 | time:  3.03s | valid loss  1.92 | valid ppl     6.84 | learning rate 20.0000
| end of split  14 / 20 | epoch   3 | time:  3.06s | valid loss  2.00 | valid ppl     7.40 | learning rate 20.0000
