EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	14:44:18	0	0.1000	74.3815166639245	50.974853515625	0.2958	0.1003	0.1498
2	14:44:50	0	0.1000	42.5654121067213	35.250831604003906	0.5108	0.4439	0.4750
3	14:45:22	0	0.1000	30.591265263764754	26.730566024780273	0.6020	0.5299	0.5637
4	14:45:55	0	0.1000	24.77866740848707	22.320056915283203	0.6395	0.5988	0.6185
5	14:46:28	0	0.1000	21.320474458777387	20.367748260498047	0.6902	0.6302	0.6588
6	14:46:59	0	0.1000	19.344081505485203	18.16678810119629	0.6763	0.6647	0.6704
7	14:47:32	0	0.1000	17.034912275231402	17.086444854736328	0.7159	0.6602	0.6869
8	14:48:04	0	0.1000	15.71694687138433	15.937202453613281	0.7065	0.6864	0.6963
9	14:48:36	0	0.1000	14.92228014572807	14.270254135131836	0.7307	0.7290	0.7299
10	14:49:08	1	0.1000	13.586422816566799	13.965434074401855	0.7413	0.7163	0.7286
11	14:49:39	0	0.1000	13.026561965113101	13.475730895996094	0.7496	0.7350	0.7423
12	14:50:11	1	0.1000	12.015323162078857	13.046826362609863	0.7206	0.7298	0.7252
13	14:50:43	0	0.1000	11.598885349605395	12.722651481628418	0.7648	0.7470	0.7558
14	14:51:15	1	0.1000	11.285311263540518	13.331125259399414	0.7089	0.7253	0.7170
15	14:51:47	2	0.1000	11.009389856587285	12.110452651977539	0.7573	0.7522	0.7548
16	14:52:19	0	0.1000	10.777332015659498	11.537779808044434	0.7560	0.7792	0.7674
17	14:52:52	0	0.1000	10.377160144888837	11.191274642944336	0.7575	0.7927	0.7747
18	14:53:24	1	0.1000	9.995734536129495	11.705018043518066	0.7685	0.7627	0.7656
19	14:53:55	2	0.1000	10.304121857104095	10.918004989624023	0.7579	0.7852	0.7713
20	14:54:27	3	0.1000	9.789244568866232	10.639538764953613	0.7663	0.7657	0.7660
21	14:55:00	4	0.1000	9.351509374120962	10.594999313354492	0.7513	0.7754	0.7632
22	14:55:32	0	0.0500	8.68891928506934	10.281003952026367	0.7601	0.7994	0.7793
23	14:56:05	0	0.0500	8.592081919960354	10.412435531616211	0.7699	0.7889	0.7793
24	14:56:36	1	0.0500	8.72510027885437	10.140962600708008	0.7646	0.7829	0.7737
25	14:57:08	0	0.0500	8.580302622007286	10.135472297668457	0.7655	0.7964	0.7806
26	14:57:40	1	0.0500	8.442484938580057	10.223695755004883	0.7653	0.7859	0.7755
27	14:58:11	2	0.0500	8.178376871606577	9.930073738098145	0.7675	0.7882	0.7777
28	14:58:43	0	0.0500	8.238360436066337	10.425275802612305	0.7639	0.8039	0.7834
29	14:59:14	0	0.0500	8.037421330161717	9.875577926635742	0.7706	0.7994	0.7847
30	14:59:46	0	0.0500	7.9677122572193975	9.74206256866455	0.7809	0.8001	0.7904
31	15:00:18	1	0.0500	7.799761025801949	9.863815307617188	0.7765	0.8009	0.7885
